Czas_s,Uchyb_X_px,Uchyb_Y_px,Kp_Pan,Kd_Pan,Kp_Tilt,Kd_Tilt
11.609,85,-68,0.01,0.001,0.01,0.001
11.632,112,-58,0.01,0.001,0.01,0.001
11.654,111,-53,0.01,0.001,0.01,0.001
11.675,129,-42,0.01,0.001,0.01,0.001
11.697,133,-30,0.01,0.001,0.01,0.001
11.719,130,-23,0.01,0.001,0.01,0.001
11.745,122,-19,0.01,0.001,0.01,0.001
11.768,109,-18,0.01,0.001,0.01,0.001
11.790,108,-18,0.01,0.001,0.01,0.001
11.813,94,-20,0.01,0.001,0.01,0.001
11.835,92,-22,0.01,0.001,0.01,0.001
11.860,75,-20,0.01,0.001,0.01,0.001
11.882,72,-20,0.01,0.001,0.01,0.001
11.904,50,-8,0.01,0.001,0.01,0.001
11.929,43,-6,0.01,0.001,0.01,0.001
11.953,34,1,0.01,0.001,0.01,0.001
11.973,4,9,0.01,0.001,0.01,0.001
11.996,-5,18,0.01,0.001,0.01,0.001
12.017,-6,22,0.01,0.001,0.01,0.001
12.038,-8,26,0.01,0.001,0.01,0.001
12.060,-8,27,0.01,0.001,0.01,0.001
12.084,-15,27,0.01,0.001,0.01,0.001
12.106,-14,27,0.01,0.001,0.01,0.001
12.130,-9,26,0.01,0.001,0.01,0.001
12.152,-9,25,0.01,0.001,0.01,0.001
12.173,0,23,0.01,0.001,0.01,0.001
12.196,9,21,0.01,0.001,0.01,0.001
